"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","27","","","","","","PUT_post",""
"passed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","25","","","","","","GET_modified_post",""
"passed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","32","","","","","","auth",""
"failed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","31","","","","","","PATCH_post",""
"passed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","25","","","","","","DELETE_post",""
"failed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","27","","","","","","PATCH_post_failed",""
"passed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","128","","","","","","/ping",""
"passed","Wed Jul 24 16:47:54 GMT 2024","Wed Jul 24 16:47:54 GMT 2024","24","","","","","","create_booking_post",""
