"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","23","","","","","","GET_modified_post",""
"failed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","25","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","26","","","","","","PUT_post",""
"failed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","29","","","","","","PATCH_post",""
"passed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","24","","","","","","DELETE_post",""
"passed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","116","","","","","","/ping",""
"passed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","31","","","","","","auth",""
"passed","Mon Jul 29 13:45:55 GMT 2024","Mon Jul 29 13:45:55 GMT 2024","26","","","","","","create_booking_post",""
