"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","20","","","","","","GET_modified_post",""
"failed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","26","","","","","","PATCH_post",""
"passed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","21","","","","","","DELETE_post",""
"passed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","112","","","","","","/ping",""
"failed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","23","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","28","","","","","","auth",""
"passed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","24","","","","","","create_booking_post",""
"passed","Mon Jul 29 12:35:33 GMT 2024","Mon Jul 29 12:35:33 GMT 2024","22","","","","","","PUT_post",""
