"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","40","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","38","","","","","","GET_modified_post",""
"passed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","41","","","","","","create_booking_post",""
"passed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","211","","","","","","/ping",""
"passed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","46","","","","","","auth",""
"passed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","39","","","","","","PUT_post",""
"failed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","45","","","","","","PATCH_post",""
"passed","Mon Jul 29 13:24:34 GMT 2024","Mon Jul 29 13:24:34 GMT 2024","37","","","","","","DELETE_post",""
