"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 09 15:53:40 GMT 2022","Fri Sep 09 15:53:40 GMT 2022","146","","","","","","PATCH_post",""
"passed","Fri Sep 09 15:53:39 GMT 2022","Fri Sep 09 15:53:39 GMT 2022","411","","","","","","/ping",""
"passed","Fri Sep 09 15:53:39 GMT 2022","Fri Sep 09 15:53:39 GMT 2022","107","","","","","","auth",""
"passed","Fri Sep 09 15:53:40 GMT 2022","Fri Sep 09 15:53:40 GMT 2022","128","","","","","","PUT_post",""
"passed","Fri Sep 09 15:53:40 GMT 2022","Fri Sep 09 15:53:40 GMT 2022","109","","","","","","GET_modified_post",""
"passed","Fri Sep 09 15:53:40 GMT 2022","Fri Sep 09 15:53:40 GMT 2022","136","","","","","","DELETE_post",""
"passed","Fri Sep 09 15:53:39 GMT 2022","Fri Sep 09 15:53:40 GMT 2022","114","","","","","","create_booking_post",""
