"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 13:39:21 GMT 2024","Mon Jul 29 13:39:21 GMT 2024","28","","","","","","PUT_post",""
"passed","Mon Jul 29 13:39:21 GMT 2024","Mon Jul 29 13:39:22 GMT 2024","23","","","","","","GET_modified_post",""
"passed","Mon Jul 29 13:39:22 GMT 2024","Mon Jul 29 13:39:22 GMT 2024","24","","","","","","DELETE_post",""
"failed","Mon Jul 29 13:39:21 GMT 2024","Mon Jul 29 13:39:21 GMT 2024","30","","","","","","PATCH_post",""
"passed","Mon Jul 29 13:39:21 GMT 2024","Mon Jul 29 13:39:21 GMT 2024","27","","","","","","create_booking_post",""
"passed","Mon Jul 29 13:39:21 GMT 2024","Mon Jul 29 13:39:21 GMT 2024","31","","","","","","auth",""
"passed","Mon Jul 29 13:39:21 GMT 2024","Mon Jul 29 13:39:21 GMT 2024","115","","","","","","/ping",""
"failed","Mon Jul 29 13:39:22 GMT 2024","Mon Jul 29 13:39:22 GMT 2024","25","","","","","","PATCH_post_failed",""
