"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","19","","","","","","GET_modified_post",""
"failed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","25","","","","","","PATCH_post",""
"passed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","34","","","","","","auth",""
"passed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","22","","","","","","PUT_post",""
"failed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","20","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","111","","","","","","/ping",""
"passed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","23","","","","","","create_booking_post",""
"passed","Mon Jul 29 12:58:54 GMT 2024","Mon Jul 29 12:58:54 GMT 2024","22","","","","","","DELETE_post",""
