"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 09 17:23:42 GMT 2022","Fri Sep 09 17:23:43 GMT 2022","403","","","","","","/ping",""
"passed","Fri Sep 09 17:23:43 GMT 2022","Fri Sep 09 17:23:43 GMT 2022","130","","","","","","GET_modified_post",""
"passed","Fri Sep 09 17:23:43 GMT 2022","Fri Sep 09 17:23:43 GMT 2022","108","","","","","","PUT_post",""
"failed","Fri Sep 09 17:23:43 GMT 2022","Fri Sep 09 17:23:43 GMT 2022","122","","","","","","PATCH_post",""
"passed","Fri Sep 09 17:23:43 GMT 2022","Fri Sep 09 17:23:43 GMT 2022","99","","","","","","auth",""
"passed","Fri Sep 09 17:23:43 GMT 2022","Fri Sep 09 17:23:44 GMT 2022","204","","","","","","DELETE_post",""
"passed","Fri Sep 09 17:23:43 GMT 2022","Fri Sep 09 17:23:43 GMT 2022","101","","","","","","create_booking_post",""
