"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 18:39:16 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","65","","","","","","create_booking_post",""
"failed","Sun Sep 11 18:39:16 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","61","","","","","","PATCH_post_failed",""
"passed","Sun Sep 11 18:39:15 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","70","","","","","","auth",""
"passed","Sun Sep 11 18:39:16 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","65","","","","","","GET_modified_post",""
"passed","Sun Sep 11 18:39:15 GMT 2022","Sun Sep 11 18:39:15 GMT 2022","291","","","","","","/ping",""
"passed","Sun Sep 11 18:39:16 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","68","","","","","","PUT_post",""
"failed","Sun Sep 11 18:39:16 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","73","","","","","","PATCH_post",""
"passed","Sun Sep 11 18:39:16 GMT 2022","Sun Sep 11 18:39:16 GMT 2022","64","","","","","","DELETE_post",""
