"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","61","","","","","","GET_modified_post",""
"passed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","64","","","","","","DELETE_post",""
"passed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","63","","","","","","PUT_post",""
"failed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","75","","","","","","PATCH_post",""
"passed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","61","","","","","","create_booking_post",""
"passed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","68","","","","","","auth",""
"failed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","58","","","","","","PATCH_post_failed",""
"passed","Sun Sep 11 19:12:34 GMT 2022","Sun Sep 11 19:12:34 GMT 2022","290","","","","","","/ping",""
