"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 09:20:04 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","104","","","","","","GET_modified_post",""
"failed","Mon Sep 12 09:20:04 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","98","","","","","","PATCH_post_failed",""
"passed","Mon Sep 12 09:20:04 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","117","","","","","","DELETE_post",""
"passed","Mon Sep 12 09:20:04 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","97","","","","","","create_booking_post",""
"passed","Mon Sep 12 09:20:03 GMT 2022","Mon Sep 12 09:20:03 GMT 2022","401","","","","","","/ping",""
"failed","Mon Sep 12 09:20:04 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","113","","","","","","PATCH_post",""
"passed","Mon Sep 12 09:20:04 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","106","","","","","","PUT_post",""
"passed","Mon Sep 12 09:20:03 GMT 2022","Mon Sep 12 09:20:04 GMT 2022","107","","","","","","auth",""
