"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","62","","","","","","create_booking_post",""
"passed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","300","","","","","","/ping",""
"passed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","58","","","","","","PUT_post",""
"passed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","61","","","","","","GET_modified_post",""
"passed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","72","","","","","","auth",""
"failed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","75","","","","","","PATCH_post",""
"passed","Sun Sep 11 17:35:27 GMT 2022","Sun Sep 11 17:35:27 GMT 2022","64","","","","","","DELETE_post",""
