"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","92","","","","","","PATCH_post_failed",""
"passed","Sat Feb 18 15:54:38 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","398","","","","","","/ping",""
"passed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","97","","","","","","GET_modified_post",""
"passed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","96","","","","","","create_booking_post",""
"passed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","98","","","","","","PUT_post",""
"passed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","95","","","","","","DELETE_post",""
"failed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","106","","","","","","PATCH_post",""
"passed","Sat Feb 18 15:54:39 GMT 2023","Sat Feb 18 15:54:39 GMT 2023","103","","","","","","auth",""
