"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 13:00:43 GMT 2024","Mon Jul 29 13:00:43 GMT 2024","31","","","","","","auth",""
"failed","Mon Jul 29 13:00:44 GMT 2024","Mon Jul 29 13:00:44 GMT 2024","25","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 13:00:43 GMT 2024","Mon Jul 29 13:00:43 GMT 2024","114","","","","","","/ping",""
"passed","Mon Jul 29 13:00:44 GMT 2024","Mon Jul 29 13:00:44 GMT 2024","24","","","","","","GET_modified_post",""
"passed","Mon Jul 29 13:00:43 GMT 2024","Mon Jul 29 13:00:43 GMT 2024","28","","","","","","PUT_post",""
"failed","Mon Jul 29 13:00:43 GMT 2024","Mon Jul 29 13:00:43 GMT 2024","31","","","","","","PATCH_post",""
"passed","Mon Jul 29 13:00:44 GMT 2024","Mon Jul 29 13:00:44 GMT 2024","23","","","","","","DELETE_post",""
"passed","Mon Jul 29 13:00:43 GMT 2024","Mon Jul 29 13:00:43 GMT 2024","24","","","","","","create_booking_post",""
