"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","27","","","","","","PATCH_post",""
"failed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","22","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","20","","","","","","GET_modified_post",""
"passed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","21","","","","","","PUT_post",""
"passed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","28","","","","","","auth",""
"passed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","96","","","","","","/ping",""
"passed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","22","","","","","","DELETE_post",""
"passed","Mon Jul 29 14:15:35 GMT 2024","Mon Jul 29 14:15:35 GMT 2024","20","","","","","","create_booking_post",""
