"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","24","","","","","","create_booking_post",""
"passed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","118","","","","","","/ping",""
"failed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","26","","","","","","PATCH_post_failed",""
"passed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","31","","","","","","auth",""
"passed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","24","","","","","","GET_modified_post",""
"failed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","29","","","","","","PATCH_post",""
"passed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","24","","","","","","DELETE_post",""
"passed","Mon Jul 29 14:06:43 GMT 2024","Mon Jul 29 14:06:43 GMT 2024","27","","","","","","PUT_post",""
