"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 14:24:54 GMT 2024","Mon Jul 29 14:24:55 GMT 2024","72","","","","","","GET_modified_post",""
"failed","Mon Jul 29 14:24:55 GMT 2024","Mon Jul 29 14:24:55 GMT 2024","73","","","","","","PATCH_post_failed",""
"failed","Mon Jul 29 14:24:54 GMT 2024","Mon Jul 29 14:24:54 GMT 2024","76","","","","","","PATCH_post",""
"passed","Mon Jul 29 14:24:54 GMT 2024","Mon Jul 29 14:24:54 GMT 2024","72","","","","","","create_booking_post",""
"passed","Mon Jul 29 14:24:54 GMT 2024","Mon Jul 29 14:24:54 GMT 2024","74","","","","","","PUT_post",""
"passed","Mon Jul 29 14:24:55 GMT 2024","Mon Jul 29 14:24:55 GMT 2024","70","","","","","","DELETE_post",""
"passed","Mon Jul 29 14:24:54 GMT 2024","Mon Jul 29 14:24:54 GMT 2024","309","","","","","","/ping",""
"passed","Mon Jul 29 14:24:54 GMT 2024","Mon Jul 29 14:24:54 GMT 2024","80","","","","","","auth",""
