"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 17:14:20 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","97","","","","","","create_booking_post",""
"passed","Sun Sep 11 17:14:20 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","95","","","","","","GET_modified_post",""
"passed","Sun Sep 11 17:14:19 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","389","","","","","","/ping",""
"passed","Sun Sep 11 17:14:20 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","95","","","","","","PUT_post",""
"failed","Sun Sep 11 17:14:20 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","106","","","","","","PATCH_post",""
"passed","Sun Sep 11 17:14:20 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","105","","","","","","auth",""
"passed","Sun Sep 11 17:14:20 GMT 2022","Sun Sep 11 17:14:20 GMT 2022","97","","","","","","DELETE_post",""
