"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","36","","","","","","auth",""
"failed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","34","","","","","","PATCH_post",""
"failed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","28","","","","","","PATCH_post_failed",""
"passed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","28","","","","","","PUT_post",""
"passed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","27","","","","","","DELETE_post",""
"passed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","31","","","","","","GET_modified_post",""
"passed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","26","","","","","","create_booking_post",""
"passed","Thu Aug 10 19:53:05 GMT 2023","Thu Aug 10 19:53:05 GMT 2023","130","","","","","","/ping",""
